|pm_ra   |pm_dec  |hip_number|vmag |ra_deg      |dec_deg     |bv_color|
| 1302.45| -674.12|    110618| 5.28|336.14329493|-72.25377388|   0.660|
|  -15.99|  -12.08|     63165| 5.93|194.13216726|-72.18518249|   1.115|
|  -17.73|  -15.46|     65289| 6.06|200.71925349|-72.14667406|   0.049|
|  -50.59|   -5.16|     61199| 3.84|188.11712896|-72.13297590|  -0.157|
|   -5.64|  -51.40|     64994| 6.04|199.82913970|-72.03547781|   1.341|
|  -24.93|   -1.62|     55350| 6.41|170.01734764|-71.99433341|   0.019|
|   27.94|  -30.04|     51438| 4.72|157.58364619|-71.99271995|   0.042|
|   10.52|   -5.87|     62608| 5.55|192.43728988|-71.98624542|   1.154|
|   27.18|   15.95|     14131| 5.51|045.56415553|-71.90249547|  -0.125|
|   17.40|    4.88|    105768| 6.09|321.32505314|-71.79907257|   1.265|
|  -76.94|   42.03|     46407| 6.33|141.95494967|-71.78120370|   0.413|
|   22.13|  -40.85|     31977| 6.50|100.23984360|-71.77509320|   1.110|
|   21.15|   42.99|     17543| 6.26|056.34873335|-71.65823679|  -0.123|
|   -7.00|  -21.76|     75959| 6.39|232.70497336|-71.65408347|  -0.112|
| -102.43|   80.99|     46358| 5.46|141.77707532|-71.60209195|   1.079|
|  263.58|  -23.28|     63613| 3.61|195.56573968|-71.54879865|   1.190|
|  -17.29|   37.04|     40817| 5.33|124.95414818|-71.51499632|  -0.063|
|  -17.73|   35.09|     40834| 5.63|125.00232960|-71.50546247|  -0.099|
|  -62.20|   11.00|     58706| 6.41|180.61910492|-71.48900826|   1.163|
|  -11.18|   -2.39|     63688| 5.93|195.77233515|-71.47572327|   0.002|
|    7.69|   40.95|     35946| 6.49|111.15463980|-71.47075644|   0.120|
|   30.00|  -13.62|       377| 5.59|001.17188841|-71.43685835|  -0.100|
|  -16.77|    4.07|     54673| 6.34|167.87321458|-71.43619887|   1.373|
|    1.25| -158.29|     91792| 4.01|280.75889095|-71.42772867|   1.134|
|  -15.36|    3.78|     48715| 6.30|149.04066795|-71.38930933|  -0.056|
|   -3.54|   10.68|     23467| 5.30|075.67918703|-71.31432608|   0.996|
|   73.49|  -13.04|      2629| 6.11|008.34677242|-71.26621472|   0.265|
|  -38.53|   12.30|    101570| 6.41|308.77641961|-71.18880857|   1.305|
|   -8.47|  -35.91|     82944| 6.46|254.25443644|-71.11155701|   0.260|
|   13.09|  -11.43|    107423| 6.02|326.37002172|-71.00882172|  -0.099|
|  -16.37|  -13.31|     81141| 5.50|248.58070589|-70.98806509|   1.235|
|    4.02|   25.56|     32912| 5.41|102.86241294|-70.96347336|  -0.110|
|    9.30|   34.77|     21949| 5.53|070.76644496|-70.93111187|  -0.114|
|  -22.57|    3.30|     54327| 5.58|166.70803819|-70.87793836|  -0.070|
|  -46.04|    0.85|     52520| 6.25|161.08376292|-70.85972326|   0.208|
|  -47.91|    0.18|     52537| 6.43|161.13508599|-70.85525541|   0.227|
|   49.04|  -78.16|     84158| 6.21|258.08269833|-70.72089238|   1.062|
|  -29.45|    0.48|     53272| 5.99|163.42553924|-70.72033781|  -0.020|
|  -55.50|    1.05|     65522| 5.65|201.45999506|-70.62725069|  -0.018|
|   -4.36|    9.89|     44626| 4.66|136.40992522|-70.53852074|  -0.149|
|   23.71|  108.06|     34481| 3.78|107.18676883|-70.49919435|   1.006|
|   17.17|  104.08|     34473| 5.68|107.17642280|-70.49734046|   0.436|
|  245.19|   61.31|    117105| 6.06|356.10417971|-70.49037556|   0.910|
|   -3.89| -117.69|     93238| 6.49|284.87197851|-70.46836740|   0.305|
|  -65.71|  -31.61|     66574| 6.11|204.69096307|-70.44475263|   1.415|
|  -15.57|    5.94|     32332| 6.10|101.23197446|-70.43377284|   1.335|
|  121.79|  -62.31|    110668| 5.78|336.29329897|-70.43147060|   0.396|
|   19.21|  -38.05|     42425| 5.19|129.77136771|-70.38665235|   0.013|
|   12.96|   32.95|    112694| 6.35|342.32270149|-70.34806201|   0.071|
|   -5.89|   -5.84|     69241| 6.07|212.62879682|-70.30545037|   1.718|
|  -41.39|  -55.11|     76736| 6.45|235.04844303|-70.22774887|   0.077|
|   -7.61|   -1.96|     57696| 4.98|177.48594609|-70.22578580|   1.360|
|   -7.65|   -0.27|     59551| 6.05|183.19596584|-70.15178663|   1.780|
|   41.42|  -20.34|    104755| 5.06|318.33516015|-70.12621725|   1.578|
|   -1.73|  -12.04|     84979| 5.39|260.52449572|-70.12317887|  -0.042|
|  -18.51|   46.57|     41451| 5.51|126.81994813|-70.09359517|  -0.024|
|  199.89|  110.77|     80686| 4.90|247.11583852|-70.08467012|   0.555|
|    4.39|   -8.24|     74582| 5.75|228.57986595|-70.07945566|   3.271|
|  -43.00|    0.29|     46143| 6.45|141.15482482|-70.07577997|   1.275|
|  -43.19|   73.20|    113137| 6.04|343.66482152|-70.07388667|   0.660|
|  -35.73|    7.55|     50099| 3.29|153.43449551|-70.03792169|  -0.074|
|   25.96|   34.75|     30321| 5.56|095.65929247|-69.98412773|   1.510|
|   35.02|    1.26|     64390| 5.92|197.96408969|-69.94201974|   0.415|
|   -9.48|  -13.00|     72983| 6.38|223.72521374|-69.86092469|  -0.059|
|  -46.70|    9.56|     37720| 6.16|116.05456897|-69.82161624|  -0.032|
|    9.39|   -7.43|    105678| 6.28|321.06972656|-69.73386384|   2.607|
|  -31.27|  -20.52|     69298| 6.07|212.75805146|-69.71926784|   0.190|
| -157.66|  108.91|     45238| 1.67|138.30100329|-69.71747245|   0.070|
|  -13.25|  200.75|     30565| 5.37|096.36937934|-69.69078672|   0.971|
|  -99.97|  -35.52|     64682| 6.37|198.85735777|-69.67919729|   1.210|
|  -24.77|   -4.73|    107835| 5.52|327.69677354|-69.62940458|   1.378|
|  -20.61|  -16.29|     65755| 6.17|202.19510174|-69.62711260|  -0.014|
|   -4.01|   -0.64|      1647| 5.50|005.16267858|-69.62491154|  -0.046|
|   22.08|   18.35|     15840| 6.14|051.00948316|-69.62465075|   0.482|
|   30.71|  -44.55|    101626| 6.09|308.96528696|-69.61047763|   1.293|
|    7.92|  -43.35|      4293| 5.45|013.75124739|-69.52697888|   1.095|
|   82.31|  -46.41|    106044| 5.47|322.18661378|-69.50527320|   1.553|
|   -8.29|    0.30|     52785| 6.35|161.87756549|-69.43773364|  -0.085|
|   -4.55|   -1.18|     61981| 6.31|190.52097535|-69.40755080|   0.750|
|    3.94|   -4.78|     67664| 5.73|207.94759834|-69.40124669|   1.704|
|   -0.41|   64.81|     15968| 5.96|051.40105611|-69.33659399|   0.415|
|  -13.94|  -13.12|     83150| 5.79|254.89159236|-69.26813178|  -0.103|
|  -37.41|   15.10|     14547| 6.12|046.95416193|-69.26495674|   1.011|
|   -7.87|    2.83|     52730| 6.34|161.70037254|-69.20979312|   0.180|
|  -39.05|   -6.89|     58720| 5.89|180.65731961|-69.19227106|  -0.080|
|    7.00|  -28.72|     94724| 6.25|289.11916883|-69.19075492|   0.193|
|   69.18| -100.60|     98332| 5.74|299.67157464|-69.16371251|   0.224|
|  -39.87|  -12.44|     61585| 2.69|189.29618208|-69.13553358|  -0.176|
|  -17.86|    8.81|     48782| 6.18|149.24932341|-69.10182530|  -0.100|
|  -24.98|    2.86|     53556| 6.48|164.33424913|-69.03806214|   0.000|
